Session,Duration,Time,Presenter,Link
Motivation and Overview, 15min, 08:30-08:45, [Manling Li](https://limanling.github.io), [Slides]()
Foundation Models meet Virtual Agents, 45min, 8:45-9:30, [Manling Li](https://limanling.github.io), [Slides]()
Foundation Models meet Physical Agents, 
"    Overview & High-level Decision Making", 25min, 9:30-9:55, [Jiayuan Mao](https://jiayuanm.com), [Slides]()
"    Low-level Decision Making", 50min, 9:55-10:45, [Wenlong Huang](https://wenlong.page), [Slides]()
Break, 30min, 10:45-11:15, , 
Robotic Foundation Models, 30min, 11:15-11:45, [Yunzhu Li](https://yunzhuli.github.io), [Slides]()
Remaining Challenges, 15min, 11:45-12:00, [Yunzhu Li](https://yunzhuli.github.io), [Slides]()
QA, 30min, 12:00-12:30

